,mean,sd,hpd_3%,hpd_97%
αJK[43],0.336,0.086,0.173,0.497
αJK[44],0.614,0.14,0.355,0.862
αJK[45],0.548,0.153,0.26,0.818
αJK[46],0.719,0.141,0.449,0.947
αJK[47],0.612,0.144,0.358,0.869
αJK[48],0.637,0.162,0.316,0.897
αJK[49],0.64,0.149,0.359,0.882
αJK[50],0.585,0.182,0.253,0.914
αJK[51],0.78,0.152,0.481,0.978
αJK[52],0.058,0.011,0.04,0.08
αJK[53],0.719,0.166,0.405,0.967
αJK[54],0.607,0.15,0.332,0.875
αJK[55],0.065,0.009,0.047,0.08
αJK[56],0.743,0.153,0.461,0.975
αJK[57],0.712,0.145,0.454,0.943
αT[0],0.603,0.188,0.257,0.923
αT[1],0.058,0.041,0.005,0.132
αT[2],0.591,0.187,0.258,0.921
αT[3],0.565,0.202,0.196,0.9
αT[4],0.318,0.196,0.015,0.665
αT[5],0.601,0.192,0.238,0.931
αT[6],0.013,0.019,0.0,0.037
αT[7],0.508,0.188,0.161,0.841
αT[8],0.597,0.193,0.242,0.913
αT[9],0.579,0.204,0.211,0.919
αT[10],0.585,0.193,0.24,0.908
αT[11],0.074,0.055,0.007,0.165
αT[12],0.479,0.204,0.131,0.843
αT[13],0.585,0.19,0.235,0.9
αT[14],0.555,0.199,0.202,0.897
αT[15],0.593,0.189,0.28,0.933
αT[16],0.573,0.192,0.225,0.907
αT[17],0.458,0.2,0.071,0.791
αT[18],0.389,0.19,0.049,0.708
αT[19],0.268,0.165,0.033,0.564
αT[20],0.607,0.201,0.251,0.939
αT[21],0.587,0.195,0.218,0.9
αT[22],0.56,0.205,0.205,0.942
αT[23],0.593,0.198,0.242,0.932
αT[24],0.581,0.209,0.213,0.915
αT[25],0.55,0.193,0.247,0.92
αT[26],0.564,0.196,0.212,0.899
αT[27],0.608,0.198,0.242,0.914
αT[28],0.607,0.192,0.245,0.913
αT[29],0.446,0.182,0.139,0.789
αT[30],0.005,0.008,0.0,0.017
αT[31],0.292,0.159,0.046,0.592
αT[32],0.583,0.189,0.244,0.911
αT[33],0.303,0.18,0.032,0.646
αT[34],0.47,0.182,0.179,0.841
αT[35],0.352,0.202,0.036,0.714
αT[36],0.543,0.204,0.184,0.902
αT[37],0.602,0.197,0.265,0.937
αT[38],0.601,0.191,0.236,0.909
αT[39],0.067,0.049,0.01,0.15
αT[40],0.025,0.025,0.001,0.067
αT[41],0.605,0.188,0.259,0.915
αT[42],0.312,0.173,0.044,0.635
αT[43],0.546,0.207,0.185,0.902
αT[44],0.61,0.187,0.3,0.944
αT[45],0.424,0.16,0.132,0.697
αT[46],0.599,0.188,0.236,0.905
αT[47],0.6,0.19,0.248,0.923
αT[48],0.603,0.191,0.253,0.917
αT[49],0.592,0.199,0.21,0.903
αT[50],0.006,0.009,0.0,0.018
αT[51],0.399,0.24,0.02,0.805
αT[52],0.055,0.04,0.005,0.124
αT[53],0.598,0.19,0.255,0.904
αT[54],0.573,0.201,0.215,0.913
αT[55],0.568,0.199,0.196,0.902
αT[56],0.607,0.186,0.272,0.915
αT[57],0.614,0.19,0.28,0.932
αTJ[0],0.645,0.129,0.417,0.877
αTJ[1],0.547,0.159,0.25,0.828
αTJ[2],0.637,0.132,0.364,0.849
αTJ[3],0.568,0.16,0.257,0.837
αTJ[4],0.538,0.128,0.301,0.772
αTJ[5],0.643,0.132,0.401,0.876
αTJ[6],0.566,0.137,0.311,0.806
αTJ[7],0.568,0.131,0.341,0.814
αTJ[8],0.65,0.124,0.405,0.85
αTJ[9],0.639,0.131,0.398,0.883
αTJ[10],0.673,0.134,0.433,0.921
αTJ[11],0.516,0.126,0.294,0.752
αTJ[12],0.458,0.175,0.162,0.794
αTJ[13],0.588,0.123,0.356,0.8
