,mean,sd,hpd_3%,hpd_97%
αEF[24],0.606,0.114,0.396,0.8
αEF[25],0.201,0.031,0.146,0.262
αEF[26],0.053,0.028,0.011,0.106
αEF[27],0.704,0.152,0.437,0.945
αEF[28],0.086,0.032,0.032,0.144
αEF[29],0.219,0.034,0.161,0.282
αEF[30],0.793,0.157,0.487,0.988
αEF[31],0.149,0.026,0.102,0.195
αEF[32],0.129,0.144,0.002,0.42
αEF[33],0.393,0.062,0.281,0.513
αEF[34],0.599,0.147,0.353,0.878
αEF[35],0.827,0.129,0.59,0.992
αEF[36],0.674,0.123,0.472,0.903
αEF[37],0.813,0.155,0.508,0.992
αEF[38],0.374,0.061,0.265,0.489
αEF[39],0.816,0.137,0.554,0.992
αEF[40],0.2,0.023,0.156,0.241
αEF[41],0.273,0.033,0.216,0.337
αEF[42],0.04,0.025,0.007,0.082
αEF[43],0.462,0.116,0.241,0.665
αEF[44],0.242,0.048,0.158,0.334
αEF[45],0.126,0.032,0.072,0.185
αEF[46],0.831,0.137,0.57,0.995
αEF[47],0.684,0.159,0.413,0.956
αEF[48],0.417,0.095,0.234,0.593
αEF[49],0.08,0.033,0.028,0.138
αEF[50],0.186,0.071,0.068,0.315
αEF[51],0.056,0.026,0.018,0.101
αEF[52],0.779,0.156,0.486,0.982
αEF[53],0.205,0.03,0.151,0.26
αEF[54],0.831,0.134,0.586,0.992
αEF[55],0.202,0.037,0.134,0.267
αEF[56],0.824,0.132,0.572,0.989
αEF[57],0.798,0.163,0.495,0.993
αEF[58],0.464,0.134,0.202,0.699
αEF[59],0.49,0.126,0.261,0.726
αEF[60],0.796,0.166,0.484,0.993
αEF[61],0.154,0.03,0.1,0.21
αEF[62],0.253,0.036,0.182,0.317
αEF[63],0.261,0.091,0.096,0.422
αEF[64],0.833,0.14,0.56,0.994
αEF[65],0.74,0.165,0.428,0.983
αEF[66],0.249,0.041,0.169,0.322
αG[0],0.628,0.207,0.242,0.941
αG[1],0.69,0.177,0.377,0.973
αG[2],0.007,0.005,0.001,0.015
αG[3],0.703,0.172,0.356,0.951
αG[4],0.469,0.181,0.121,0.78
αG[5],0.646,0.19,0.296,0.939
αG[6],0.463,0.213,0.114,0.864
αG[7],0.695,0.189,0.345,0.967
αG[8],0.739,0.169,0.418,0.985
αG[9],0.605,0.196,0.241,0.923
αG[10],0.574,0.184,0.265,0.901
αG[11],0.691,0.174,0.365,0.952
αG[12],0.548,0.187,0.209,0.873
αG[13],0.673,0.179,0.352,0.961
αG[14],0.735,0.169,0.414,0.972
αG[15],0.645,0.186,0.304,0.947
αG[16],0.727,0.175,0.407,0.98
αG[17],0.318,0.228,0.002,0.729
αG[18],0.714,0.18,0.37,0.97
αG[19],0.646,0.185,0.312,0.948
αG[20],0.69,0.182,0.342,0.952
αG[21],0.615,0.196,0.271,0.939
αG[22],0.701,0.175,0.405,0.985
αG[23],0.637,0.185,0.279,0.927
αG[24],0.725,0.172,0.388,0.969
αG[25],0.7,0.185,0.341,0.961
αG[26],0.733,0.178,0.389,0.978
αG[27],0.012,0.006,0.003,0.022
αG[28],0.318,0.173,0.045,0.634
αG[29],0.636,0.197,0.277,0.952
αG[30],0.728,0.175,0.393,0.983
αG[31],0.655,0.176,0.349,0.935
αG[32],0.027,0.008,0.013,0.042
αG[33],0.71,0.181,0.369,0.977
αG[34],0.016,0.007,0.006,0.027
αG[35],0.737,0.172,0.41,0.981
αG[36],0.734,0.163,0.439,0.981
αG[37],0.519,0.187,0.165,0.828
αG[38],0.716,0.178,0.38,0.976
αG[39],0.635,0.189,0.302,0.945
αG[40],0.689,0.188,0.344,0.975
αG[41],0.563,0.16,0.24,0.83
αG[42],0.701,0.174,0.382,0.964
αG[43],0.641,0.181,0.304,0.924
αG[44],0.599,0.174,0.279,0.888
αG[45],0.031,0.008,0.018,0.047
αG[46],0.715,0.174,0.401,0.982
αG[47],0.694,0.179,0.355,0.971
αG[48],0.532,0.207,0.175,0.885
αG[49],0.58,0.223,0.205,0.965
αG[50],0.01,0.006,0.002,0.02
αG[51],0.711,0.18,0.371,0.977
αG[52],0.688,0.177,0.347,0.955
αG[53],0.664,0.199,0.287,0.962
αG[54],0.709,0.173,0.414,0.987
αG[55],0.062,0.014,0.038,0.091
αG[56],0.729,0.176,0.405,0.979
αG[57],0.553,0.18,0.223,0.854
αG[58],0.634,0.196,0.275,0.941
αG[59],0.49,0.158,0.218,0.795
αG[60],0.671,0.19,0.322,0.964
αG[61],0.606,0.167,0.307,0.9
αG[62],0.728,0.174,0.382,0.971
αG[63],0.657,0.176,0.341,0.957
αG[64],0.731,0.171,0.414,0.981
αG[65],0.627,0.16,0.329,0.884
αG[66],0.717,0.18,0.396,0.981
αH[0],0.018,0.011,0.003,0.038
αH[1],0.64,0.194,0.284,0.954
αH[2],0.568,0.223,0.174,0.945
αH[3],0.657,0.191,0.31,0.957
αH[4],0.604,0.206,0.248,0.954
αH[5],0.016,0.01,0.002,0.035
αH[6],0.325,0.2,0.021,0.679
αH[7],0.649,0.196,0.263,0.936
αH[8],0.679,0.179,0.329,0.955
αH[9],0.629,0.21,0.261,0.973
αH[10],0.619,0.21,0.23,0.966
αH[11],0.658,0.201,0.283,0.961
αH[12],0.294,0.145,0.066,0.565
αH[13],0.562,0.186,0.228,0.91
αH[14],0.66,0.201,0.289,0.963
αH[15],0.522,0.214,0.175,0.919
αH[16],0.656,0.202,0.283,0.973
αH[17],0.534,0.262,0.117,0.98
αH[18],0.649,0.2,0.278,0.972
αH[19],0.009,0.009,0.001,0.026
αH[20],0.651,0.198,0.292,0.965
αH[21],0.031,0.014,0.01,0.056
αH[22],0.655,0.194,0.306,0.965
αH[23],0.668,0.194,0.305,0.958
αH[24],0.656,0.192,0.293,0.959
αH[25],0.625,0.201,0.264,0.957
αH[26],0.668,0.199,0.325,0.975
αH[27],0.529,0.23,0.145,0.936
αH[28],0.005,0.006,0.0,0.014
αH[29],0.01,0.009,0.001,0.024
αH[30],0.657,0.197,0.3,0.967
αH[31],0.668,0.193,0.301,0.971
αH[32],0.51,0.225,0.127,0.893
αH[33],0.667,0.193,0.318,0.962
αH[34],0.53,0.225,0.15,0.917
αH[35],0.669,0.197,0.302,0.969
αH[36],0.659,0.202,0.296,0.97
αH[37],0.631,0.197,0.289,0.973
αH[38],0.669,0.195,0.3,0.973
αH[39],0.655,0.199,0.315,0.976
αH[40],0.64,0.2,0.291,0.963
αH[41],0.681,0.19,0.302,0.96
αH[42],0.658,0.197,0.301,0.948
αH[43],0.643,0.198,0.288,0.968
αH[44],0.516,0.183,0.159,0.821
αH[45],0.579,0.203,0.228,0.945
αH[46],0.657,0.194,0.287,0.954
αH[47],0.654,0.202,0.279,0.965
αH[48],0.277,0.175,0.025,0.61
αH[49],0.113,0.066,0.023,0.234
αH[50],0.481,0.257,0.071,0.922
αH[51],0.662,0.192,0.311,0.958
αH[52],0.623,0.206,0.259,0.952
αH[53],0.617,0.205,0.265,0.969
αH[54],0.667,0.192,0.316,0.964
αH[55],0.69,0.186,0.352,0.968
αH[56],0.653,0.2,0.289,0.954
αH[57],0.668,0.193,0.318,0.967
αH[58],0.011,0.009,0.001,0.025
αH[59],0.544,0.206,0.189,0.911
αH[60],0.634,0.199,0.271,0.946
αH[61],0.621,0.198,0.258,0.947
αH[62],0.669,0.191,0.326,0.954
αH[63],0.621,0.201,0.268,0.956
αH[64],0.654,0.202,0.292,0.961
αH[65],0.615,0.191,0.285,0.943
αH[66],0.649,0.198,0.281,0.961
αM[0],0.062,0.022,0.026,0.102
αM[1],0.635,0.178,0.292,0.918
αM[2],0.003,0.004,0.0,0.008
αM[3],0.626,0.184,0.29,0.921
αM[4],0.098,0.055,0.018,0.204
αM[5],0.221,0.128,0.039,0.468
αM[6],0.043,0.024,0.007,0.085
αM[7],0.541,0.18,0.215,0.849
αM[8],0.653,0.186,0.295,0.925
αM[9],0.519,0.191,0.151,0.845
αM[10],0.536,0.195,0.209,0.885
αM[11],0.065,0.023,0.026,0.106
αM[12],0.071,0.026,0.029,0.119
αM[13],0.356,0.162,0.088,0.646
αM[14],0.525,0.175,0.206,0.83
αM[15],0.513,0.183,0.183,0.841
αM[16],0.362,0.187,0.044,0.692
αM[17],0.013,0.014,0.001,0.034
αM[18],0.592,0.19,0.287,0.951
αM[19],0.002,0.002,0.0,0.005
αM[20],0.243,0.12,0.052,0.462
αM[21],0.455,0.243,0.072,0.885
αM[22],0.464,0.165,0.164,0.753
αM[23],0.361,0.149,0.102,0.643
