ID,Stimulus,trialseq,DV,R,s,T,u,R_abs,T_abs,US,Test
104,Tu,35,4.676190476,0,0,1,1,0,0,1,1
104,u,36,1.226455026,0,0,0,1,0,1,0,1
104,Tu,37,4.413756614,0,0,1,1,0,0,1,1
104,u,38,1.052910053,0,0,0,1,0,1,0,1
104,u,39,1.802116402,0,0,0,1,0,1,1,1
104,Tu,40,4.142857143,0,0,1,1,0,0,0,1
104,u,41,1.476190476,0,0,0,1,0,1,0,1
104,Tu,42,4.663492063,0,0,1,1,0,0,1,1
104,Tu,43,4.900529101,0,0,1,1,0,0,0,1
104,u,44,1.768253968,0,0,0,1,0,1,0,1
104,Tu,45,4.367195767,0,0,1,1,0,0,1,1
104,Tu,46,4.384126984,0,0,1,1,0,0,1,1
104,u,47,2.301587302,0,0,0,1,0,1,0,1
104,u,48,1.146031746,0,0,0,1,0,1,0,1
104,s,49,1.091005291,0,1,0,0,1,0,0,1
104,Rs,50,4.828571429,1,1,0,0,0,0,0,1
104,Tu,51,4.223280423,0,0,1,1,0,0,1,1
104,Rs,52,4.426455026,1,1,0,0,0,0,1,1
104,s,53,1.755555556,0,1,0,0,1,0,0,1
104,Tu,54,4.202116402,0,0,1,1,0,0,1,1
104,u,55,2.267724868,0,0,0,1,0,1,1,1
104,u,56,2.22962963,0,0,0,1,0,1,0,1
104,Tu,57,4.125925926,0,0,1,1,0,0,0,1
104,u,58,2.415873016,0,0,0,1,0,1,0,1
104,u,59,2.75026455,0,0,0,1,0,1,0,1
104,s,60,1.361904762,0,1,0,0,1,0,0,1
104,Tu,61,3.982010582,0,0,1,1,0,0,1,1
104,s,62,1.569312169,0,1,0,0,1,0,1,1
104,Rs,63,4.515343915,1,1,0,0,0,0,1,1
104,Rs,64,4.113227513,1,1,0,0,0,0,1,1
104,u,65,1.53968254,0,0,0,1,0,1,0,0
104,Ts,66,2.991534392,0,1,1,0,0,0,0,0
104,Ru,67,2.479365079,1,0,0,1,0,0,0,0
104,T,68,3.423280423,0,0,1,0,0,0,0,0
104,Tu,69,3.842328042,0,0,1,1,0,0,0,0
104,s,70,1.171428571,0,1,0,0,1,0,0,0
104,R,71,3.351322751,1,0,0,0,0,0,0,0
104,Rs,72,4.041269841,1,1,0,0,0,0,0,0
104,T,73,3.499470899,0,0,1,0,0,0,0,0
104,Rs,74,4.388359788,1,1,0,0,0,0,0,0
104,Ru,75,2.432804233,1,0,0,1,0,0,0,0
104,Tu,76,4.26984127,0,0,1,1,0,0,0,0
104,R,77,3.380952381,1,0,0,0,0,0,0,0
104,s,78,1.700529101,0,1,0,0,1,0,0,0
104,Ts,79,3.372486772,0,1,1,0,0,0,0,0
104,u,80,1.06984127,0,0,0,1,0,1,0,0
105,s,1,2.024691484,0,1,0,0,0,0,0,1
105,Rs,2,1.979424057,1,1,0,0,0,0,1,1
